facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status,service_category,service_group,service_detail
A+A,MC010002,Clinic,Private,-13.797421,33.885631,Centrals West Zone,Functional,Community Health,Community Health,Growth monitoring
A+A,MC010002,Clinic,Private,-13.797421,33.885631,Centrals West Zone,Functional,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Disposable syringes
A+A,MC010002,Clinic,Private,-13.797421,33.885631,Centrals West Zone,Functional,Diagnostics,Diagnostics,Rapid Syphillis
A+A,MC010002,Clinic,Private,-13.797421,33.885631,Centrals West Zone,Functional,Diagnostics,Diagnostics,Urine protein dip stick test
A+A,MC010002,Clinic,Private,-13.797421,33.885631,Centrals West Zone,Functional,Diagnostics,Diagnostics,Urine glucose test
A+A,MC010002,Clinic,Private,-13.797421,33.885631,Centrals West Zone,Functional,Diagnostics,Diagnostics,Urine keton test
A+A,MC010002,Clinic,Private,-13.797421,33.885631,Centrals West Zone,Functional,Diagnostics,Diagnostics,Malaria rapid test
A+A,MC010002,Clinic,Private,-13.797421,33.885631,Centrals West Zone,Functional,Clinical Services,Clinical Services,Out patient services (OPD)
A+A,MC010002,Clinic,Private,-13.797421,33.885631,Centrals West Zone,Functional,Laboratory,Laboratory,Medical devices
A+A,MC010002,Clinic,Private,-13.797421,33.885631,Centrals West Zone,Functional,Pharmacy,Pharmacy,Pharmacy
A+A,MC010002,Clinic,Private,-13.797421,33.885631,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,ANC guidelines
A+A,MC010002,Clinic,Private,-13.797421,33.885631,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Ante-natal Services
A+A,MC010002,Clinic,Private,-13.797421,33.885631,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,IPT guidelines
A+A,MC010002,Clinic,Private,-13.797421,33.885631,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Staff trained in ANC last 2 years
A+A,MC010002,Clinic,Private,-13.797421,33.885631,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,PMTCT guideines
A+A,MC010002,Clinic,Private,-13.797421,33.885631,Centrals West Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Prevention of Mother to Child Transmission of HIV (PMTCT)
A+A,MC010002,Clinic,Private,-13.797421,33.885631,Centrals West Zone,Functional,Nutrition,Nutrition,Management of severe malnutrition (children)
A+A,MC010002,Clinic,Private,-13.797421,33.885631,Centrals West Zone,Functional,Clinical Services,Clinical Services,In patient services (IPD)
A+A,MC010002,Clinic,Private,-13.797421,33.885631,Centrals West Zone,Functional,Pharmacy,Pharmacy,Dispensing room
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Out patient services (OPD)
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Cataract Surgery
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Non-Communicable Diseases
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Surgical Blades
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Disposable gloves
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Surgical services provided
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Bin
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Sharp container
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Disinfectant
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Disposable syringes
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Auto disposable syringes
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Staff trained in surgery
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Running water
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Laboratory,Laboratory,Medical devices
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Community Health,Community Health,Health education
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Out patient services (OPD)
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Cataract Surgery
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Non-Communicable Diseases
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Surgical Blades
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Disposable gloves
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Surgical services provided
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Bin
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Sharp container
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Disinfectant
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Disposable syringes
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Auto disposable syringes
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Staff trained in surgery
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Clinical Services,Clinical Services,Running water
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Laboratory,Laboratory,Medical devices
A.C Opticals,BT240003,Clinic,Private,-15.8,35.03,South East Zone,Functional,Community Health,Community Health,Health education
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Pill
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Pill
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Male condoms
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Emergency Contraception
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Depoprovera
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,HIV/AIDS & Counseling,HIV/AIDS & Counseling,ORS provision
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Zinc supplimentation
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Amoxixillin Treatment
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Malaria Treatment
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Iron Suppliment
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Running water
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Hand washing soap
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Hand sanitiser
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Disposable gloves
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Bin
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Shaprs Container
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Disinfectant
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Malaria rapid diagnostic test (MRDT)
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Slide Microscopy
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,Diagnostics,Diagnostics,Malaria rapid test
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Oral Contraceptives
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Progesterone oral Contraceptive
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Male condoms
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Implants
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Emergency Contraceptives
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Depoprovera
Akwezeke Pvt,BT240005,Clinic,Private,-15.84,35.09,South East Zone,Functional,Maternal & Reproductive Health,Maternal & Reproductive Health,Levonorgestrel
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Out patient services (OPD)
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Chronic Respiratory diseases management
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Chronic Respiratory diseases management
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Non-Communicable Diseases
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Pneumonia treatment
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Non-Communicable Diseases
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,ARI
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Chronic Respiratory diseases
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,MCI-Integrated Mangement of child illiness
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Cardivascular diseases management
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Treatment of severe pneumonia(Oxygen)
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Running water
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,ORS
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Chronic Respiratory diseases
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Diarrhoea diseases
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Chronic Respiratory diseases
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Disinfectant
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Disposable gloves
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Malaria facility offer diagnosis and malaria treatment
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Malaria facility offer diagnosis and malaria treatment
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,ZINC
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Sharp container
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Disposable syringes
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Bin
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Malaria rapid diagnostic test (MRDT)
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Chronic Respiratory diseases management
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Cardivascular diseases management
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Disinfectant
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Sharp container
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Out patient services (OPD)
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Malaria rapid diagnostic test (MRDT)
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Non-Communicable Diseases
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Disinfectant
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Pneumonia treatment
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Out patient services (OPD)
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,ARI
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Disposable syringes
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Pneumonia treatment
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Chronic Respiratory diseases
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Disposable syringes
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Running water
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Surgical services provided
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,ARI
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Hand waship soap
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Cardivascular diseases management
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,MCI-Integrated Mangement of child illiness
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Disposable gloves
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Treatment of severe pneumonia(Oxygen)
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Bin
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Sharp container
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Running water
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,ORS
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Disinfectant
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Surgical services provided
Abowa,BT240006,Clinic,Private,-15.84,35.09,South East Zone,Functional,Clinical Services,Clinical Services,Disposable syringes
