facility_code,service_category,service_group,service_detail
MC010002,Community Health,Community Health,Growth monitoring
MC010002,HIV/AIDS & Counseling,HIV/AIDS & Counseling,Disposable syringes
MC010002,Diagnostics,Diagnostics,Rapid Syphillis
MC010002,Diagnostics,Diagnostics,Urine protein dip stick test
MC010002,Diagnostics,Diagnostics,Urine glucose test
MC010002,Diagnostics,Diagnostics,Urine keton test
MC010002,Diagnostics,Diagnostics,Malaria rapid test
MC010002,Clinical Services,Clinical Services,Out patient services (OPD)
MC010002,Laboratory,Laboratory,Medical devices
MC010002,Pharmacy,Pharmacy,Pharmacy
MC010002,Maternal & Reproductive Health,Maternal & Reproductive Health,ANC guidelines
MC010002,Maternal & Reproductive Health,Maternal & Reproductive Health,Ante-natal Services
MC010002,Maternal & Reproductive Health,Maternal & Reproductive Health,IPT guidelines
MC010002,Maternal & Reproductive Health,Maternal & Reproductive Health,Staff trained in ANC last 2 years
MC010002,Maternal & Reproductive Health,Maternal & Reproductive Health,PMTCT guideines
MC010002,Maternal & Reproductive Health,Maternal & Reproductive Health,Prevention of Mother to Child Transmission of HIV (PMTCT)
MC010002,Nutrition,Nutrition,Management of severe malnutrition (children)
MC010002,Clinical Services,Clinical Services,In patient services (IPD)
MC010002,Pharmacy,Pharmacy,Dispensing room
BT240003,Clinical Services,Clinical Services,Out patient services (OPD)
BT240003,Clinical Services,Clinical Services,Cataract Surgery
BT240003,Clinical Services,Clinical Services,Non-Communicable Diseases
BT240003,Clinical Services,Clinical Services,Surgical Blades
BT240003,Clinical Services,Clinical Services,Disposable gloves
BT240003,Clinical Services,Clinical Services,Surgical services provided
BT240003,Clinical Services,Clinical Services,Bin
BT240003,Clinical Services,Clinical Services,Sharp container
BT240003,Clinical Services,Clinical Services,Disinfectant
BT240003,Clinical Services,Clinical Services,Disposable syringes
BT240003,Clinical Services,Clinical Services,Auto disposable syringes
BT240003,Clinical Services,Clinical Services,Staff trained in surgery
BT240003,Clinical Services,Clinical Services,Running water
BT240003,Laboratory,Laboratory,Medical devices
BT240003,Community Health,Community Health,Health education
BT240003,Clinical Services,Clinical Services,Out patient services (OPD)
BT240003,Clinical Services,Clinical Services,Cataract Surgery
