facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status
Gumsuri Primary Health Care Center,08/07/1/1/1/0030,Primary,Public,11.05984,12.80855,Borno,NA
Uba Primary Health Center,08/02/1/1/1/0044,Primary,Public,10.4589969996,13.2138180004,Borno,NA
Ngulde Comprehensive Health Center,08/02/1/1/1/0034,Primary,Public,10.6323430004,12.5458080005,Borno,NA
Shikarkir Primary Health Center,08/06/1/1/1/0021,Primary,Public,10.8027800002,12.7768000004,Borno,NA
Mifa Health Post,08/06/1/1/1/0025,Primary,Public,10.8886899996,12.9037699997,Borno,NA
Gajigana Model Primary Health Care Center,08/20/1/1/1/0008,Primary,Public,12.2498950004,13.1042699999,Borno,NA
Nguwom Primary Health Center,08/19/1/1/1/0022,Primary,Public,11.8844400001,13.3453799998,Borno,NA
Kurbagayi Primary Health Center,08/18/1/1/1/0013,Primary,Public,10.4733740797,11.7770045664,Borno,NA
Abidemi Primary Health Center,29/22/1/1/1/0002,Primary,Public,7.274902344,4.1953125,Osun,NA
Igbara Odo Primary Health Clinic,13/04/1/1/1/0001,Primary,Public,7.50217,5.065215,Ekiti,NA
Water Board Aah Clinic,08/24/1/1/1/0030,Primary,Public,12.68298,13.61403,Borno,NA
Nrc Idps Camp Aah Clinic,08/24/1/1/1/0028,Primary,Public,12.67774,13.62142,Borno,NA
Iho Basic Health Center,16/08/1/1/1/0012,Primary,Public,5.5818558,7.10398666,Imo,NA
Rann Primary Health Center,08/15/1/2/1/0001,Primary,Public,12.2681856,14.4659828,Borno,NA
Gamboru Primary Health Care Center,08/25/1/1/1/0007,Primary,Public,12.37014,14.21058,Borno,NA
Baga Road Primary Health Clinic,08/21/1/1/1/0078,Primary,Public,11.87028,13.12194,Borno,NA
Limankara Health Clinic,08/11/1/1/1/0019,Primary,Public,11.10464,13.81496,Borno,NA
Pulka Primary Health Center,08/11/1/1/1/0030,Primary,Public,10.98756,13.66336,Borno,NA
Ngoshe Primary Health Clinic,08/11/1/1/1/0042,Primary,Public,11.13273873,13.79227709,Borno,NA
Shehu Palace Health Clinic,08/21/1/1/1/0031,Primary,Public,11.8484,13.1609,Borno,NA
Naf Emergency Hospital,08/03/1/2/2/0001,Secondary,Public,11.529405,13.688382,Borno,NA
Zajeri Primary Health Center,08/21/1/1/1/0023,Primary,Public,11.8725,13.12722,Borno,NA
Tampul Primary Health Clinic,08/02/1/1/1/0043,Primary,Public,10.5775450001,13.2230459996,Borno,NA
Kautikari Primary Health Center,08/06/1/3/1/0001,Primary,Public,10.81868,12.9840850003,Borno,NA
Uba B Primary Health Care Center,02/07/1/1/1/0089,Primary,Public,10.45140167,13.21774667,Borno,NA
Maiduguri Federal Neuro Psychiatric Hospital,08/21/1/3/1/0001,Tertiary,Public,11.8572033217,13.1365938582,Borno,NA
Bama Maternity and  Child Health Clinic,08/03/1/1/1/0005,Primary,Public,11.5049000002,13.6719899997,Borno,NA
Abocho Cottage Hospital,22/05/1/1/1/0059,Secondary,Public,7.573120117,6.999084473,Kogi,NA
Boarding Primary School Idp Camp Clinic,08/16/1/1/1/0013,Primary,Public,11.665381,13.396635,Borno,NA
Damboa Primary Health Center,08/07/1/1/1/0009,Primary,Public,11.1613,12.7577,Borno,NA
Adetoyin Venture Hospital,13/01/1/2/2/0005,Secondary,Private,7.63050166667,5.21005,Ekiti,NA
Afaha Ikot Inyang Health Center,03/28/1/1/1/0004,Primary,Public,4.967056667,7.718501667,Akwa Ibom,NA
Muna Koreri Alima Clinic,08/13/1/1/1/0038,Primary,Public,11.866345,13.24527,Borno,NA
Oro Basic Health Center,28/13/1/1/1/0022,Primary,Public,6.89998,4.85358,Ondo,NA
Monguno Support Programme Icrc Family Clinic,08/24/1/1/1/0011,Primary,Public,12.66683,13.61814,Borno,NA
Bisi Odo Ayedun Maternity Clinic,13/11/1/1/2/0004,Primary,Private,7.81667,5.58752,Ekiti,NA
Gamboru Primary Health Center,08/21/1/1/1/0011,Primary,Public,11.84557,13.16676666,Borno,NA
Konduga Primary Health Care Center,08/16/1/1/1/0029,Primary,Public,11.65588379,13.41589355,Borno,NA
Gwange Primary Health Center,08/21/1/1/1/0013,Primary,Public,11.8275,13.1675,Borno,NA
Bama General Hospital,08/03/1/2/1/0046,Secondary,Public,11.530622,13.688927,Borno,NA
Kareram A Health Clinic,08/20/1/1/1/0011,Primary,Public,12.15589,12.80756,Borno,NA
Hirpaya Primary Health Center,08/06/1/1/1/0008,Primary,Public,10.86755833,12.78967833,Borno,NA
Hirku Health Clinic,08/05/1/1/2/0004,Primary,Private,10.62390137,12.18688965,Borno,NA
Jere Police Health Clinic,08/21/1/1/1/0019,Secondary,Public,11.8245529544,13.1261688513,Borno,NA
Askira Primary Health Care Center,08/02/1/1/1/0051,Primary,Public,10.649427,12.9108040005,Borno,NA
Kuburmbula Primary Health Center,08/06/1/1/1/0012,Primary,Public,10.8807300001,12.9206100001,Borno,NA
Gajibo Primary Health Care Center,08/08/1/1/1/0008,Primary,Public,12.1124700001,13.9885999998,Borno,NA
Biu Town Health Post,08/05/1/1/1/0006,Primary,Public,10.6113030001,12.1959449998,Borno,NA
Pompomari Primary Health Care Center,08/16/1/1/1/0044,Primary,Public,11.836486816,13.065917969,Borno,NA
Duzuwa Health Post,08/05/1/1/1/0013,Primary,Public,10.8861379998,11.7657590005,Borno,NA
Panana Health Post,08/05/1/1/1/0031,Primary,Public,10.9181189996,11.7692069998,Borno,NA
Irele Primary Health Clinic,13/11/1/1/1/0010,Primary,Public,8.00794,5.60872,Ekiti,NA
Sauki Health Clinic,08/05/1/1/2/0009,Primary,Private,10.61746,12.17441,Borno,NA
Ngamdu Model Primary Health Care Center,08/14/1/1/1/0010,Primary,Public,11.7603199998,12.2623799999,Borno,NA
Shaffa Primary Health Center,08/12/1/1/1/0029,Primary,Public,10.51261,12.3276100002,Borno,NA
Pelambirin Health Post,08/12/1/1/1/0026,Primary,Public,10.4063229998,12.3703030002,Borno,NA
Damasak General Hospital,08/11/1/2/1/0005,Secondary,Public,13.0944100002,12.5050699998,Borno,NA
Damboa Town Health Clinic,08/07/1/1/1/0061,Primary,Public,11.1600109999,12.7539669999,Borno,NA
Diggiri Health Post,05/05/1/1/1/0011,Primary,Public,11.219787,10.526103,Bauchi,NA
Mbulabam Health Post,08/06/1/1/1/0027,Primary,Public,10.8419299998,12.9123799996,Borno,NA
Kwatam Medical Clinic,08/21/1/1/2/0008,Secondary,Private,11.8632779997,13.1340260002,Borno,NA
City Medical Center,08/21/1/1/2/0004,Secondary,Private,11.8555040005,13.1518740003,Borno,NA
Ute Basic Health Center,28/17/1/1/1/0019,Primary,Public,6.851501465,5.604492187,Ondo,NA
Walafa Health Post,08/02/1/1/1/0048,Primary,Public,10.7773579999,13.3099039997,Borno,NA
Mallam Fatori Primary Health Center,08/01/1/1/1/0020,Primary,Public,13.6644699996,13.3418300003,Borno,NA
Konduga General Hospital,08/16/1/2/1/0001,Secondary,Public,11.6571899997,13.4064400002,Borno,NA
