Facility ID,Facility Name,Facility Type,Ownership,Operational Status,Province,District,Services
1835,Namatindi Rural Health Centre,Health Centre,MOH,Functional,Western,Kalabo,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
1815,Kaluwe Rural Health Centre,Health Centre,MOH,Functional,Western,Sikongo,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
2564,Mankhaka  Health Post,Health Post,MOH,Functional,Eastern,Lundazi,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services; General Practice Consultation & Treatment; Maternity"
4084,Chisu Health Post,Health Post,MOH,Functional,Western,Mwandi,"Maternity; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Public Health Services"
4157,Chienge District Hospital,1st Level Hospital,MOH,Functional,Luapula,Chienge,Resuscitation and Emergency Medicine; Critical Care Medicine (High Dependency Care); Internal Medicine (Infectious and None Communicable Medicine); Laboratory Services; Dental; Ophthalmology; Obstetrics and Gynaecology; Palliative care services; Patient Referral and Transfer; Physiotherapy and Rehabilitation; Psychiatry and Mental Health; Imaging such as radiology and sonography (Simple and Special); Surgery
1337,Nanzhila Rural Health Centre,Health Centre,MOH,Functional,Southern,Itezhi-Tezhi,"General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; ART & VMMC; Public Health Services; Dental; Laboratory Services"
3467,Lealui Rural Health Centre,Health Centre,MOH,Functional,Western,Mongu,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
3662,Zubeda Clinic,Diagnostic centre,Private,Functional,Lusaka,Kafue,N/A
1830,Katondo Urban Health Centre,Health Centre,MOH,Functional,Central,Kabwe,"Public Health Services; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Laboratory Services; ART & VMMC"
2503,Mutanda Rural Health Centre,Health Centre,MOH,Functional,North-Western,Kalumbila,"ART & VMMC; General Practice Consultation & Treatment; MCH (Under 5, Family planning, antenatal, postnatal & immunisation); Maternity; Dental; Laboratory Services; Public Health Services"
