facility_code,service_category,service_group,service_detail
1835,ART & VMMC,ART & VMMC,ART & VMMC
1835,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
1835,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
1835,Maternity,Maternity,Maternity
1835,Dental,Dental,Dental
1835,Laboratory Services,Laboratory Services,Laboratory Services
1835,Public Health Services,Public Health Services,Public Health Services
1815,ART & VMMC,ART & VMMC,ART & VMMC
1815,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
1815,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
1815,Maternity,Maternity,Maternity
1815,Dental,Dental,Dental
1815,Laboratory Services,Laboratory Services,Laboratory Services
1815,Public Health Services,Public Health Services,Public Health Services
2564,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2564,Public Health Services,Public Health Services,Public Health Services
2564,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2564,Maternity,Maternity,Maternity
4084,Maternity,Maternity,Maternity
4084,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
4084,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
4084,Public Health Services,Public Health Services,Public Health Services
4157,Resuscitation and Emergency Medicine,Resuscitation and Emergency Medicine,Resuscitation and Emergency Medicine
4157,Critical Care Medicine (High Dependency Care),Critical Care Medicine (High Dependency Care),Critical Care Medicine (High Dependency Care)
4157,Internal Medicine (Infectious and None Communicable Medicine),Internal Medicine (Infectious and None Communicable Medicine),Internal Medicine (Infectious and None Communicable Medicine)
4157,Laboratory Services,Laboratory Services,Laboratory Services
4157,Dental,Dental,Dental
4157,Ophthalmology,Ophthalmology,Ophthalmology
4157,Obstetrics and Gynaecology,Obstetrics and Gynaecology,Obstetrics and Gynaecology
4157,Palliative care services,Palliative care services,Palliative care services
4157,Patient Referral and Transfer,Patient Referral and Transfer,Patient Referral and Transfer
4157,Physiotherapy and Rehabilitation,Physiotherapy and Rehabilitation,Physiotherapy and Rehabilitation
4157,Psychiatry and Mental Health,Psychiatry and Mental Health,Psychiatry and Mental Health
4157,Imaging such as radiology and sonography (Simple and Special),Imaging such as radiology and sonography (Simple and Special),Imaging such as radiology and sonography (Simple and Special)
4157,Surgery,Surgery,Surgery
1337,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
1337,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
1337,Maternity,Maternity,Maternity
1337,ART & VMMC,ART & VMMC,ART & VMMC
1337,Public Health Services,Public Health Services,Public Health Services
1337,Dental,Dental,Dental
1337,Laboratory Services,Laboratory Services,Laboratory Services
3467,ART & VMMC,ART & VMMC,ART & VMMC
3467,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
3467,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
3467,Maternity,Maternity,Maternity
3467,Dental,Dental,Dental
3467,Laboratory Services,Laboratory Services,Laboratory Services
3467,Public Health Services,Public Health Services,Public Health Services
1830,Public Health Services,Public Health Services,Public Health Services
1830,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
1830,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
1830,Maternity,Maternity,Maternity
1830,Laboratory Services,Laboratory Services,Laboratory Services
1830,ART & VMMC,ART & VMMC,ART & VMMC
2503,ART & VMMC,ART & VMMC,ART & VMMC
2503,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
2503,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
2503,Maternity,Maternity,Maternity
2503,Dental,Dental,Dental
2503,Laboratory Services,Laboratory Services,Laboratory Services
2503,Public Health Services,Public Health Services,Public Health Services
3283,Public Health Services,Public Health Services,Public Health Services
3283,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
