facility_code,service_category,service_group,service_detail
100000-9,general_services,General Clinical Services,OPD - Outpatient Services
100000-9,general_services,General Clinical Services,IMCI - Integrated Management of
100000-9,general_services,General Clinical Services,Minor Surgical Interventions
100000-9,malaria_diagnosis,Malaria Diagnosis and Treatment,Slide Microscopy
100000-9,malaria_diagnosis,Malaria Diagnosis and Treatment,mRDT - Rapid Diagnostic Tests
100000-9,malaria_diagnosis,Malaria Diagnosis and Treatment,First Line Treatment
100000-9,hiv_prevention,HIV/AIDS Prevention,PMTCT - ANC (ANC PMTCT)
100000-9,hiv_prevention,HIV/AIDS Prevention,PMTCT - Maternity (MAT PMTCT)
100000-9,therapeutics,Therapeutics,Dispensing Room
100000-9,growth_nutrition,Growth Monitoring / Nutrition Surveillance,Vaccination
100000-9,growth_nutrition,Growth Monitoring / Nutrition Surveillance,IMM-BASIC - Basic Immunization
100000-9,growth_nutrition,Growth Monitoring / Nutrition Surveillance,IMM-ADD - With Addition Vaccine
100000-9,growth_nutrition,Growth Monitoring / Nutrition Surveillance,PORT - Port Immunization Services
100001-7,general_services,General Clinical Services,OPD - Outpatient Services
100001-7,general_services,General Clinical Services,IMCI - Integrated Management of
100001-7,general_services,General Clinical Services,Nutritional Counseling
100001-7,general_services,General Clinical Services,Minor Surgical Interventions
100001-7,malaria_diagnosis,Malaria Diagnosis and Treatment,mRDT - Rapid Diagnostic Tests
100001-7,malaria_diagnosis,Malaria Diagnosis and Treatment,First Line Treatment
100001-7,malaria_diagnosis,Malaria Diagnosis and Treatment,Treatment of Complicated Malaria
100001-7,hiv_prevention,HIV/AIDS Prevention,STI - Management of Sexually Transmitted
100001-7,hiv_prevention,HIV/AIDS Prevention,VCT - Voluntary Counseling and Testing
100001-7,hiv_prevention,HIV/AIDS Prevention,PITC - Provider Initiated Testing And
100001-7,hiv_prevention,HIV/AIDS Prevention,DCT - Diagnostic Counseling and Testing
100001-7,hiv_prevention,HIV/AIDS Prevention,EID - Early Infant Diagnosis
100001-7,hiv_prevention,HIV/AIDS Prevention,PMTCT - ANC (ANC PMTCT)
100001-7,hiv_prevention,HIV/AIDS Prevention,PMTCT - Maternity (MAT PMTCT)
100001-7,hiv_prevention,HIV/AIDS Prevention,VMMC - Voluntary Medical Male
100001-7,hiv_prevention,HIV/AIDS Prevention,PEP - Post Exposure Prophylaxis
100001-7,hiv_caretreatment,HIV/AIDS Care and Treatment,HIV/AIDS Care and Treatment
100001-7,hiv_caretreatment,HIV/AIDS Care and Treatment,Both Adult and Pediatric
100001-7,hiv_caretreatment,HIV/AIDS Care and Treatment,HBC - Home and Community Based Care
100001-7,therapeutics,Therapeutics,Dispensing Room
100001-7,health_promotion,Health Promotion and Disease Prevention,Community Mobilization
100001-7,health_promotion,Health Promotion and Disease Prevention,School Health Intervention
100001-7,health_promotion,Health Promotion and Disease Prevention,Psychosocial Support
100001-7,growth_nutrition,Growth Monitoring / Nutrition Surveillance,Vaccination
100001-7,growth_nutrition,Growth Monitoring / Nutrition Surveillance,IMM-BASIC - Basic Immunization
100001-7,growth_nutrition,Growth Monitoring / Nutrition Surveillance,IMM-ADD - With Addition Vaccine
100001-7,growth_nutrition,Growth Monitoring / Nutrition Surveillance,PORT - Port Immunization Services
100001-7,emergency,Emergency Preparedness,Basic Emergency Preparedness
100002-5,general_services,General Clinical Services,OPD - Outpatient Services
100002-5,general_services,General Clinical Services,IMCI - Integrated Management of
100002-5,general_services,General Clinical Services,General Ophthalmology
100002-5,general_services,General Clinical Services,Nutritional Counseling
100002-5,general_services,General Clinical Services,Minor Surgical Interventions
100002-5,malaria_diagnosis,Malaria Diagnosis and Treatment,mRDT - Rapid Diagnostic Tests
100002-5,malaria_diagnosis,Malaria Diagnosis and Treatment,First Line Treatment
100002-5,malaria_diagnosis,Malaria Diagnosis and Treatment,Treatment of Complicated Malaria
100002-5,hiv_prevention,HIV/AIDS Prevention,STI - Management of Sexually Transmitted
100002-5,hiv_prevention,HIV/AIDS Prevention,VCT - Voluntary Counseling and Testing
100002-5,hiv_prevention,HIV/AIDS Prevention,PITC - Provider Initiated Testing And
100002-5,hiv_prevention,HIV/AIDS Prevention,EID - Early Infant Diagnosis
100002-5,hiv_prevention,HIV/AIDS Prevention,PMTCT - ANC (ANC PMTCT)
100002-5,hiv_prevention,HIV/AIDS Prevention,PMTCT - Maternity (MAT PMTCT)
100002-5,hiv_prevention,HIV/AIDS Prevention,PEP - Post Exposure Prophylaxis
100002-5,hiv_caretreatment,HIV/AIDS Care and Treatment,Both Adult and Pediatric
100002-5,hiv_caretreatment,HIV/AIDS Care and Treatment,HBC - Home and Community Based Care
100002-5,therapeutics,Therapeutics,Dispensing Room
100002-5,health_promotion,Health Promotion and Disease Prevention,Community Mobilization
100002-5,health_promotion,Health Promotion and Disease Prevention,School Health Intervention
100002-5,health_promotion,Health Promotion and Disease Prevention,Psychosocial Support
100002-5,growth_nutrition,Growth Monitoring / Nutrition Surveillance,Vaccination
100002-5,growth_nutrition,Growth Monitoring / Nutrition Surveillance,IMM-BASIC - Basic Immunization
100002-5,emergency,Emergency Preparedness,Basic Emergency Preparedness
100003-3,general_services,General Clinical Services,OPD - Outpatient Services
100003-3,general_services,General Clinical Services,IMCI - Integrated Management of
100003-3,general_services,General Clinical Services,Nutritional Counseling
100003-3,general_services,General Clinical Services,Minor Surgical Interventions
100003-3,general_services,General Clinical Services,Mental Health Services
100003-3,general_services,General Clinical Services,NCD - Other Non-Communicable Disease
100003-3,malaria_diagnosis,Malaria Diagnosis and Treatment,mRDT - Rapid Diagnostic Tests
100003-3,malaria_diagnosis,Malaria Diagnosis and Treatment,First Line Treatment
100003-3,malaria_diagnosis,Malaria Diagnosis and Treatment,Treatment of Complicated Malaria
100003-3,hiv_prevention,HIV/AIDS Prevention,STI - Management of Sexually Transmitted
100003-3,hiv_prevention,HIV/AIDS Prevention,VCT - Voluntary Counseling and Testing
100003-3,hiv_prevention,HIV/AIDS Prevention,PITC - Provider Initiated Testing And
100003-3,hiv_prevention,HIV/AIDS Prevention,DCT - Diagnostic Counseling and Testing
100003-3,hiv_prevention,HIV/AIDS Prevention,EID - Early Infant Diagnosis
100003-3,hiv_prevention,HIV/AIDS Prevention,PMTCT - ANC (ANC PMTCT)
100003-3,hiv_prevention,HIV/AIDS Prevention,PMTCT - Maternity (MAT PMTCT)
100003-3,hiv_prevention,HIV/AIDS Prevention,PEP - Post Exposure Prophylaxis
100003-3,hiv_caretreatment,HIV/AIDS Care and Treatment,HIV/AIDS Care and Treatment
100003-3,hiv_caretreatment,HIV/AIDS Care and Treatment,Both Adult and Pediatric
100003-3,hiv_caretreatment,HIV/AIDS Care and Treatment,HBC - Home and Community Based Care
100003-3,therapeutics,Therapeutics,Pharmacy
100003-3,therapeutics,Therapeutics,Dispensing Room
100003-3,health_promotion,Health Promotion and Disease Prevention,Epidemiological Surveillance and Response
100003-3,health_promotion,Health Promotion and Disease Prevention,Community Mobilization
100003-3,health_promotion,Health Promotion and Disease Prevention,School Health Intervention
100003-3,health_promotion,Health Promotion and Disease Prevention,Psychosocial Support
100003-3,growth_nutrition,Growth Monitoring / Nutrition Surveillance,Vaccination
100003-3,growth_nutrition,Growth Monitoring / Nutrition Surveillance,IMM-BASIC - Basic Immunization
100003-3,emergency,Emergency Preparedness,Basic Emergency Preparedness
100004-1,general_services,General Clinical Services,OPD - Outpatient Services
100004-1,general_services,General Clinical Services,IMCI - Integrated Management of
100004-1,general_services,General Clinical Services,Minor Surgical Interventions
100004-1,malaria_diagnosis,Malaria Diagnosis and Treatment,mRDT - Rapid Diagnostic Tests
100004-1,malaria_diagnosis,Malaria Diagnosis and Treatment,First Line Treatment
100004-1,malaria_diagnosis,Malaria Diagnosis and Treatment,Treatment of Complicated Malaria
100004-1,hiv_prevention,HIV/AIDS Prevention,STI - Management of Sexually Transmitted
100004-1,hiv_prevention,HIV/AIDS Prevention,VCT - Voluntary Counseling and Testing
100004-1,hiv_prevention,HIV/AIDS Prevention,PITC - Provider Initiated Testing And
100004-1,hiv_prevention,HIV/AIDS Prevention,DCT - Diagnostic Counseling and Testing
100004-1,hiv_prevention,HIV/AIDS Prevention,PMTCT - ANC (ANC PMTCT)
100004-1,hiv_prevention,HIV/AIDS Prevention,PMTCT - Maternity (MAT PMTCT)
100004-1,hiv_prevention,HIV/AIDS Prevention,PEP - Post Exposure Prophylaxis
100004-1,hiv_caretreatment,HIV/AIDS Care and Treatment,HBC - Home and Community Based Care
100004-1,therapeutics,Therapeutics,Dispensing Room
100004-1,health_promotion,Health Promotion and Disease Prevention,Community Mobilization
100004-1,health_promotion,Health Promotion and Disease Prevention,School Health Intervention
100004-1,growth_nutrition,Growth Monitoring / Nutrition Surveillance,Vaccination
100004-1,growth_nutrition,Growth Monitoring / Nutrition Surveillance,IMM-BASIC - Basic Immunization
100004-1,growth_nutrition,Growth Monitoring / Nutrition Surveillance,IMM-ADD - With Addition Vaccine
100005-8,general_services,General Clinical Services,OPD - Outpatient Services
