facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status,country
"CANOSSA","100675-8","Dispensary","Private",-3.45802,36.71262,"Arusha","Operating","Tanzania"
"ARUSHA LIFECARE MEDICAL  CENTRE","124407-8","Health Laboratory","Private",-3.37721,36.67611,"Arusha","Operating","Tanzania"
"TERRAT","107809-6","Dispensary","Public",-3.454225,36.652426,"Arusha","Operating","Tanzania"
"COGI DARAJA II","100909-1","Dispensary","Private",-3.387378,36.690832,"Arusha","Operating","Tanzania"
"NADOSOITO","109516-5","Dispensary","Public",-3.493953,36.681011,"Arusha","Operating","Tanzania"
"AFYA MAX","111552-6","Clinic","Private",-3.365947,36.675616,"Arusha","Operating","Tanzania"
"KAM Med","102269-8","Health Center","Private",-3.378285,36.696048,"Arusha","Operating","Tanzania"
"KANAAN LAND","111489-1","Dispensary","Private",-3.405768,36.644791,"Arusha","Operating","Tanzania"
"KIMAHAMA","111784-5","Clinic","Private",-3.367506,36.68474,"Arusha","Operating","Tanzania"
"SHAMSI","112007-0","Health Laboratory","Private",-3.37261,36.66517,"Arusha","Operating","Tanzania"
"ARUSHA LUTHERAN MEDICAL CENTRE CENTER","100188-2","Hospital","Private",-3.36626,36.68231,"Arusha","Operating","Tanzania"
"AGA KHAN","108577-8","Clinic","Private",-3.37077,36.68944,"Arusha","Operating","Tanzania"
"MOSHONO","105312-3","Dispensary","Public",-3.40497,36.7301,"Arusha","Operating","Tanzania"
"AICC","109601-5","Hospital","Public",-3.37481,36.69946,"Arusha","Operating","Tanzania"
"SAFARI B","123541-5","Health Laboratory","Private",-3.39156,36.71307,"Arusha","Operating","Tanzania"
"JOBI","111844-7","Dispensary","Private",-3.375044,36.676086,"Arusha","Operating","Tanzania"
"ST. MICHAEL HEALTH CARE","124006-8","Dispensary","Private",-3.38433,36.67871,"Arusha","Operating","Tanzania"
"MORDEN","111997-3","Health Laboratory","Private",-3.37521,36.67407,"Arusha","Operating","Tanzania"
"ARUSHA CITY","112384-3","Hospital","Public",-3.419736,36.704657,"Arusha","Operating","Tanzania"
"AFYARISE","124406-0","Health Laboratory","Private",-6.45679,38.21149,"Arusha","Operating","Tanzania"
"HOLY FAMILY","101379-6","Clinic","Private",-3.41223,36.70756,"Arusha","Operating","Tanzania"
"FM HEALTH CARE","113632-4","Health Laboratory","Private",-3.36734,36.72587,"Arusha","Operating","Tanzania"
"OLKEREYAN","106910-3","Dispensary","Public",-3.43613,36.72062,"Arusha","Operating","Tanzania"
"SMART","113640-7","Health Laboratory","Private",-3.405221,36.645555,"Arusha","Operating","Tanzania"
"TBL","111223-4","Dispensary","Private",-3.38329,36.69911,"Arusha","Operating","Tanzania"
"MAJENGO","113622-5","Health Laboratory","Private",-3.37093,36.66064,"Arusha","Operating","Tanzania"
"TOTAL CARE","107868-2","Health Center","Private",-3.39064,36.70467,"Arusha","Operating","Tanzania"
"ARUSHA HEALTH CENTRE FOR WOMEN","100187-4","Health Center","Private",-3.36106,36.68535,"Arusha","Operating","Tanzania"
"ARUSHA X-RAY CENTRE","100192-4","Dispensary","Private",-3.36579,36.699,"Arusha","Operating","Tanzania"
"MATEVES","109812-8","Dispensary","Public",-3.359082,36.601756,"Arusha","Operating","Tanzania"
