addo_uid,addo_name,business_type,accreditation_source,po_box,region,region_raw_clean,district,ward,village_street,phone,training_center,latitude,longitude,altitude,gps_source,gps_accuracy,has_coords,gid_region,gid_district,gid_ward
TZ-ADDO-00001,Jamila,Retail A,Pharmacy Council,640 Ludewa,Njombe,Njombe,Ludewa,Kaitwa,,,Mwanza,-6.7983824,39.2070622,0.0,tablet,28.0,True,36957248B16645806994912,72390352B43391507115191,
TZ-ADDO-00002,Mtega Dldm,Retail A,Pharmacy Council,19 songea,Ruvuma,Ruvuma,Songea Mc,Misufini,Zimamoto,,Songea Town,-10.6746237673,35.6459120032,1104.3256965799,tablet,8.0,True,36957248B86098654739756,,
TZ-ADDO-00003,Joyce Dldm,Retail A,Pharmacy Council,594 songea,Ruvuma,Ruvuma,Songea Mc,Misufini,Manzese,,Songea Town,-10.6739246282,35.6450160553,1092.8436774215,tablet,8.0,True,36957248B86098654739756,,
TZ-ADDO-00004,Berns & Son Dldm,Retail A,Pharmacy Council,,Ruvuma,Ruvuma,Songea Mc,Misufini,Manzese,,Songea Town,-10.6730126224,35.644771108,1075.0068617074,tablet,6.0,True,36957248B86098654739756,,
TZ-ADDO-00005,Tossi Dldm,Retail A,Pharmacy Council,259 Songea,Ruvuma,Ruvuma,Songea Mc,Misufini,Mbarika,,Songea Town,-10.6754494201,35.639197681,1038.6648066977,tablet,8.0,True,36957248B86098654739756,,
TZ-ADDO-00006,Neema Dldm,Retail A,Pharmacy Council,293 Songea,Ruvuma,Ruvuma,Songea Mc,Matarawe,Mwembechai,,Songea Town,-10.6749041186,35.6336826874,1065.2029867327,tablet,8.0,True,36957248B86098654739756,,
TZ-ADDO-00007,Angel Dldm,Retail A,Pharmacy Council,14 songea,Ruvuma,Ruvuma,Songea Mc,Matarawe,Asia Kovu,,Songea town,-10.6711874607,35.6368259179,1083.5597126731,tablet,6.0,True,36957248B86098654739756,,
TZ-ADDO-00008,Njowoka Dldm,Retail A,Pharmacy Council,,Ruvuma,Ruvuma,Songea Mc,Matarawe,Sabasaba,,Songea Town,-10.6672099479,35.6395070017,1060.5153913205,tablet,6.0,True,36957248B86098654739756,,
TZ-ADDO-00009,Joy Dldm,Retail A,Pharmacy Council,5 songea,Ruvuma,Ruvuma,Songea Mc,Matarawe,Sabasaba,,Mbinga Dc,-10.667948723,35.6405198414,1083.6618005327,tablet,6.0,True,36957248B86098654739756,,
TZ-ADDO-00010,Itunge,Retail A,,12 songea,Ruvuma,Ruvuma,Songea Mc,Matarawe,Asia Kovu,,Songea Town,-10.66921299,35.6409810822,1060.6139933469,tablet,8.0,True,36957248B86098654739756,,
